Date,Added Ticker,Added Company,Removed Ticker,Removed Company,Reason
14-Dec-21,EPAM,EPAM Systems,KSU,Kansas City Southern,Canadian Pacific acquired Kansas City Southern.[52]
20-Sep-21,MTCH,Match Group,PRGO,Perrigo,Market capitalization change.[53]
20-Sep-21,CDAY,Ceridian,UNM,Unum,Market capitalization change.[53]
20-Sep-21,BRO,Brown & Brown,NOV,Nov,Market capitalization change.[53]
30-Aug-21,TECH,Bio-Techne,MXIM,Maxim Integrated,S&P 500 constituent Analog Devices acquired Maxim Integrated Products.[54]
21-Jul-21,MRNA,Moderna,ALXN,Alexion Pharmaceuticals,AstraZeneca acquired Alexion Pharmaceuticals.[55]
04-Jun-21,,,HFC,HollyFrontier,Market capitalization change.[50]
03-Jun-21,OGN,Organon & Co.,,,S&P 500/100 constituent Merck & Co. spun off Organon.[50]
14-May-21,CRL,Charles River Laboratories,FLIR,FLIR Systems,S&P 500 constituent Teledyne Technologies acquired FLIR Systems.[56]
20-Apr-21,PTC,PTC,VAR,Varian Medical Systems,Siemens Healthineers acquired Varian Medical Systems.[57]
22-Mar-21,NXPI,NXP,FLS,Flowserve,Market capitalization change.[58]
22-Mar-21,PENN,Penn National Gaming,SLG,SL Green Realty,Market capitalization change.[58]
22-Mar-21,GNRC,Generac Holdings,XRX,Xerox,Market capitalization change.[58]
22-Mar-21,CZR,Caesars Entertainment,VNT,Vontier,Market capitalization change.[58]
12-Feb-21,MPWR,Monolithic Power Systems,FTI,TechnipFMC,TechnipFMC was removed from the S&P 500 in anticipation of its announced spin-off of Technip Energies.[59]
21-Jan-21,TRMB,Trimble,CXO,Concho Resources,S&P 500/100 constituent ConocoPhillips acquired Concho Resources.[60]
07-Jan-21,ENPH,Enphase Energy,TIF,Tiffany & Co,LVMH Moet Hennessy-Louis Vuitton SE acquired Tiffany & Co.[61]
21-Dec-20,TSLA,Tesla,AIV,Apartment Investment & Management,Apartment Investment and Management (Aimco) spun off Apartment Income REIT.[62]
12-Oct-20,,,NBL,Noble Energy,Chevron acquired Noble Energy.[63]
09-Oct-20,VNT,Vontier,,,S&P 500 constituent Fortive spun off Vontier.[63]
07-Oct-20,POOL,Pool Corporation,ETFC,E-Trade,Morgan Stanley acquired E*Trade.[64]
21-Sep-20,ETSY,Etsy,HRB,H&R Block,Market capitalization change.[65]
21-Sep-20,TER,Teradyne,COTY,Coty,Market capitalization change.[65]
21-Sep-20,CTLT,Catalent,KSS,Kohl's,Market capitalization change.[65]
22-Jun-20,BIO,Bio-Rad Laboratories,ADS,Alliance Data Systems,Market capitalization change.[66]
22-Jun-20,TDY,Teledyne,HOG,Harley-Davidson,Market capitalization change.[66]
22-Jun-20,TYL,Tyler Technologies,JWN,Nordstrom,Market capitalization change.[66]
22-May-20,WST,West Pharmaceutical Services,HP,Helmerich & Payne,Market capitalization change.[67]
12-May-20,DPZ,Domino's Pizza,CPRI,Capri Holdings,Market capitalization change.[68]
12-May-20,DXCM,Dexcom,AGN,Allergan,Allergan acquired by AbbVie.[68]
06-Apr-20,,,M,Macy's,Market capitalization change.[69]
06-Apr-20,,,RTN,Raytheon Company,United Technologies spun off Otis and Carrier and acquired Raytheon Company.[69]
03-Apr-20,OTIS,Otis Worldwide,,,United Technologies spun off Otis and Carrier and acquired Raytheon Company.[69]
03-Apr-20,CARR,Carrier,,,United Technologies spun off Otis and Carrier and acquired Raytheon Company.[69]
01-Apr-20,HWM,Howmet Aerospace,ARNC,Arconic,Arconic separated into 2 companies - Howmet remained on the index.[70]
02-Mar-20,IR,Ingersoll Rand,XEC,Cimarex Energy,"Gardner Denver acquired Ingersoll Rand's industrial businesses then changed its name to the ""new"" Ingersoll Rand Inc.[71][72]"
28-Jan-20,PAYC,Paycom,WCG,WellCare,S&P 500 constituent Centene Corp. (NYSE: CNC) acquired Wellcare Health Plans.[73]
23-Dec-19,LYV,Live Nation Entertainment,AMG,Affiliated Managers Group,Market capitalization change.[74]
23-Dec-19,ZBRA,Zebra Technologies,TRIP,TripAdvisor,Market capitalization change.[74]
23-Dec-19,STE,Steris,MAC,Macerich,Market capitalization change.[74]
09-Dec-19,ODFL,Old Dominion Freight Line,STI,SunTrust Banks,BB&T acquired SunTrust to form Truist Financial.[75]
05-Dec-19,WRB,W. R. Berkley Corporation,VIAB,Viacom,CBS acquired Viacom to form ViacomCBS.[76]
21-Nov-19,NOW,ServiceNow,CELG,Celgene,Bristol-Myers Squibb (NYSE:BMY) acquired Celgene.[77]
03-Oct-19,LVS,Las Vegas Sands,NKTR,Nektar Therapeutics,Market capitalization change.[78]
26-Sep-19,NVR,NVR,JEF,Jefferies Financial Group,JEF spun off SPB.[79]
23-Sep-19,CDW,CDW Corporation,TSS,TSYS,S&P 500 constituent Global Payments (NYSE: GPN) acquired TSS.[80]
09-Aug-19,LDOS,Leidos,APC,Anadarko Petroleum,S&P 500 & 100 constituent Occidental Petroleum Corp. (NYSE:OXY) acquired Anadarko Petroleum.[81]
09-Aug-19,IEX,IDEX Corporation,FL,Foot Locker,Market capitalization change.[81]
15-Jul-19,TMUS,T-Mobile US,RHT,Red Hat,S&P 500 & 100 constituent IBM acquired Red Hat.[82]
01-Jul-19,MKTX,MarketAxess,LLL,L3 Technologies,L3 purchased by Harris Corporation[83]
11-Jun-19,AMCR,Amcor,BMS,Bemis,BMS changed to AMCR post merger with Amcor;[84] subsequently renamed to Amcor[85]
07-Jun-19,BMS,Bemis,MAT,Mattel,Pending merger of Bemis and Amcor; Bemis treated as the surviving entity.[85]
03-Jun-19,DD,DuPont,DWDP,DuPont,DWDP changed to DD after spinning off Corteva.[86]
03-Jun-19,CTVA,Corteva,FLR,Fluor Corporation,CTVA spun off from DWDP (which then changed symbol to DD)[86]
02-Apr-19,DOW,Dow,BHF,Brighthouse Financial,DOW spun off from DWDP[87]
19-Mar-19,FOXA,Fox Corporation,FOXA,21st Century Fox,21st Century Fox merged with Disney and some parts spun off as Fox Corporation.[88]
19-Mar-19,FOX,Fox Corporation,FOX,21st Century Fox,21st Century Fox merged with Disney and some parts spun off as Fox Corporation.[88]
27-Feb-19,WAB,Wabtec,GT,The Goodyear Tire & Rubber Company,WAB acquired GE transportation business[89]
15-Feb-19,ATO,Atmos Energy,NFX,Newfield Exploration,ECA acquired NFX[90]
18-Jan-19,TFX,Teleflex,PCG,Pacific Gas & Electric Company,PCG filed for bankruptcy[91]
02-Jan-19,FRC,First Republic Bank,SCG,SCANA,Dominion Energy acquired SCANA Corporation[92]
24-Dec-18,CE,Celanese,ESRX,Express Scripts,S&P 500 constituent Cigna (NYSE: CI) acquired ESRX[93]
03-Dec-18,LW,Lamb Weston,COL,Rockwell Collins,UTX acquired COL[94]
03-Dec-18,MXIM,Maxim Integrated,AET,Aetna,CVS acquired Aetna[94]
03-Dec-18,FANG,Diamondback Energy,SRCL,Stericycle,Market Capitalization change[94]
13-Nov-18,JKHY,Jack Henry & Associates,EQT,EQT Corporation,EQT spun off ETRN[95]
06-Nov-18,KEYS,Keysight,CA,CA Technologies,CA acquired by Broadcom.[96]
11-Oct-18,FTNT,Fortinet,EVHC,Envision Healthcare,EVHC acquired by KKR.[97]
01-Oct-18,ROL,Rollins,ANDV,Andeavor,ANDV acquired by Marathon Petroleum.[98]
14-Sep-18,WCG,WellCare,XL,XL Group,XL acquired by Axa.[99]
28-Aug-18,ANET,Arista Networks,GGP,GGP,GGP acquired by Brookfield Property Partners.[100]
02-Jul-18,CPRT,Copart,DPS,Dr Pepper Snapple Group,DPS acquired by Keurig Green Mountain.[101]
20-Jun-18,FLT,FleetCor Technologies,TWX,Time Warner,AT&T acquired Time Warner.[102]
18-Jun-18,BR,Broadridge Financial Solutions,RRC,Range Resources,Market capitalization change.[103]
18-Jun-18,HFC,HollyFrontier,AYI,Acuity Brands,Market capitalization change.[103]
07-Jun-18,TWTR,Twitter,MON,Monsanto,Bayer acquired Monsanto.[104]
05-Jun-18,EVRG,Evergy,NAVI,Navient,Westar Energy (NYSE: WR) acquired Great Plains Energy (NYSE: GXP) and changed name to Evergy.[105]
31-May-18,ABMD,Abiomed,WYN,Wyndham Worldwide,Wyndham Worldwide spun off Wyndham Hotels & Resorts (NYSE:WH).[106]
04-Apr-18,MSCI,MSCI,CSRA,CSRA,S&P 500 constituent General Dynamics (NYSE: GD) acquired CSRA.[107]
19-Mar-18,TTWO,Take-Two Interactive,SIG,Signet Jewelers,Market capitalization change.[108]
19-Mar-18,SIVB,SVB Financial Group,PDCO,Patterson Companies,Market capitalization change.[108]
19-Mar-18,NKTR,Nektar Therapeutics,CHK,Chesapeake Energy,Market capitalization change.[108]
07-Mar-18,IPGP,IPG Photonics,SNI,Scripps Networks Interactive,Discovery Communications acquired SNI.[109]
03-Jan-18,HII,Huntington Ingalls Industries,BCR,CR Bard,Becton Dickinson acquired BCR.[110]
13-Oct-17,NCLH,Norwegian Cruise Line Holdings,LVLT,Level 3 Communications,CenturyLink acquired LVLT.[111]
18-Sep-17,CDNS,Cadence Design Systems,SPLS,Staples,Sycamore Partners acquired Staples.[112]
01-Sep-17,DWDP,DuPont,DOW,Dow Chemical Company,The Dow Chemical Company renamed to DowDuPont Inc. and ticker changed from DOW to DWDP after acquiring DuPont.[113]
01-Sep-17,SBAC,SBA Communications,DD,DuPont,The Dow Chemical Company acquired DuPont.[113]
29-Aug-17,Q,QuintilesIMS,WFM,Whole Foods Market,Amazon acquired Whole Foods Market.[113]
08-Aug-17,BHF,Brighthouse Financial,AN,AutoNation,"BHF replaced AN,[114] MET spun off BHF[114]"
26-Jul-17,DRE,Duke Realty Corp,RIG,Transocean,Market capitalization change.[115]
26-Jul-17,AOS,A. O. Smith,BBBY,Bed Bath & Beyond,Market capitalization change.[115]
26-Jul-17,PKG,Packaging Corporation of America,MUR,Murphy Oil,Market capitalization change.[115]
26-Jul-17,RMD,ResMed,MNK,Mallinckrodt,Market capitalization change.[115]
26-Jul-17,MGM,MGM Resorts International,RAI,Reynolds American,British American Tobacco (NYSE MKT:BTI) acquired Reynolds American.[115]
07-Jul-17,BKR,Baker Hughes,BHI,Baker Hughes,Baker Hughes merged with GE Oil & Gas to form new company.[116]
19-Jun-17,HLT,Hilton,YHOO,Yahoo!,VZ acquired YHOO operations; remainder of YHOO converted to closed-end company known as Altaba.[117]
19-Jun-17,ALGN,Align Technology,TDC,Teradata,Market capitalization changes.[117]
19-Jun-17,ANSS,Ansys,R,Ryder System,Market capitalization changes.[117]
19-Jun-17,RE,Everest Re,MJN,Mead Johnson,Reckitt Benckiser acquired Mead Johnson Nutrition.[118]
02-Jun-17,INFO,IHS Markit,TGNA,Tegna,TGNA spins off Cars.com[119]
05-Apr-17,IT,Gartner,DNB,Dun & Bradstreet,IT acquiring CEB[120]
04-Apr-17,DXC,DXC Technology,SWN,Southwestern Energy,"HPE spins off Everett, merged with CSC to form DXC[121][122]"
20-Mar-17,AMD,Advanced Micro Devices,URBN,Urban Outfitters,Market capitalization change.[123]
20-Mar-17,RJF,Raymond James Financial,FTR,Frontier Communications,Market capitalization change.[123]
20-Mar-17,ARE,Alexandria Real Estate Equities,FSLR,First Solar,Market capitalization change.[123]
16-Mar-17,SNPS,Synopsys,HAR,Harman International,Samsung Electronics acquired Harman International Industries.[124]
13-Mar-17,DISH,Dish Network,LLTC,Linear Technology,S&P 500 constituent Analog Devices (NASD:ADI) acquired Linear Technology.[125]
02-Mar-17,REG,Regency Centers,ENDP,Endo International,REG acquires EQY[126]
01-Mar-17,CBOE,Cboe Holdings,PBI,Pitney Bowes,CBOE acquires BATS[126]
28-Feb-17,INCY,Incyte,SE,Spectra Energy,SE acquired by ENB[126]
05-Jan-17,IDXX,Idexx Laboratories,STJ,St Jude Medical,S&P 100 & 500 constituent Abbott Laboratories (NYSE:ABT) acquired St. Jude Medical.[127]
02-Dec-16,MAA,Mid-America Apartments,OI,Owens-Illinois,Market capitalization change.[128]
02-Dec-16,EVHC,Envision Healthcare,LM,Legg Mason,Market capitalization change.[128]
01-Nov-16,ARNC,Arconic,AA,Alcoa,AA spins off ARNC
30-Sep-16,COTY,Coty,DO,Diamond Offshore Drilling,COTY replaces DO[129]
22-Sep-16,COO,The Cooper Companies,HOT,Starwood,MAR acquires HOT[130]
08-Sep-16,CHTR,Charter Communications,EMC,EMC Corporation,Dell acquires EMC[131]
06-Sep-16,MTD,Mettler Toledo,TYC,Tyco International,TYC acquires JCI (and retains JCI ticker).[132]
05-Jul-16,FTV,Fortive Corp,CPGX,Columbia Pipeline Group,CPGX acquired by TRP[133]
01-Jul-16,LNT,Alliant Energy Corp,GAS,AGL Resources,GAS acquired by SO[134]
01-Jul-16,ALB,Albemarle Corporation,TE,TECO Energy,TE acquired by EMA[133]
22-Jun-16,FBHS,Fortune Brands Home & Security,CVC,Cablevision Systems,CVC acquired by Altice NV[135]
03-Jun-16,TDG,TransDigm Group,BXLT,Baxalta,SHPG acquiring BXLT[136]
31-May-16,AJG,Arthur J. Gallagher & Co.,CCE,Coca-Cola Enterprises,CCE merging with European bottlers[137]
23-May-16,LKQ,LKQ Corporation,ARG,Airgas,ARG acquired by Air Liquide[138]
18-May-16,DLR,Digital Realty,TWC,Time Warner Cable,TWC acquired by CHTR[139]
13-May-16,ALK,Alaska Air Group,SNDK,SanDisk,SNDK acquired by WDC[140]
03-May-16,AYI,Acuity Brands,ADT,ADT,ADT acquired by APO[141]
25-Apr-16,GPN,Global Payments,GME,GameStop,Global Payments is acquiring Heartland Payment Systems[142]
18-Apr-16,ULTA,Ulta Beauty,THC,Tenet Healthcare,Ulta replaces Tenet[143]
08-Apr-16,UA,Under Armour (Class C),,,Under Armour distribution of second class of stock
04-Apr-16,FL,Foot Locker,CAM,Cameron International,Schlumberger acquired Cameron[144]
30-Mar-16,HOLX,Hologic,POM,Pepco Holdings,Exelon acquired Pepco.[145]
30-Mar-16,CNC,Centene Corporation,ESV,Ensco,Centene acquired Health Net.[145]
07-Mar-16,UDR,UDR,GMCR,Keurig Green Mountain,JAB Holding Company acquired Keurig Green Mountain[146]
04-Mar-16,AWK,American Water Works,CNX,Consol Energy,AWK replaces CNX[147]
22-Feb-16,CXO,Concho Resources,PCL,Plum Creek Timber,PCL taken over by WY[148]
01-Feb-16,CFG,Citizens,PCP,Precision Castparts Corporation,CFG replaces PCP[149]
01-Feb-16,FRT,Federal Realty Investment Trust,BRCM,Broadcom Corporation,FRT replaces BRCM[150]
19-Jan-16,EXR,Extra Space Storage,ACE,Chubb,"EXR replaces ACE as ACE Ltd acquires Chubb and retains the CB ticker, giving up ACE[151]"
05-Jan-16,WLTW,Willis Towers Watson,FOSL,Fossil Group,WSH merges with TW (and renames to WLTW)[152]
29-Dec-15,CHD,Church & Dwight,ALTR,Altera,ALTR taken over by INTC[153]
15-Dec-15,,,CMCSK,Comcast K Corp,CMCSK shares no longer listed[154]
01-Dec-15,CSRA,CSRA,CSC,Computer Sciences Corporation,CSC spins off CSRA[155]
19-Nov-15,ILMN,Illumina,SIAL,Sigma-Aldrich,Sigma-Aldrich acquired by Merck KGaA (MKGAY)[156]
18-Nov-15,SYF,Synchrony Financial,GNW,Genworth Financial,GE spinning off Synchrony Financial[157]
02-Nov-15,HPE,Hewlett Packard Enterprise,HCBK,Hudson City Bancorp,HPQ spins off HPE[158]
07-Oct-15,VRSK,Verisk Analytics,JOY,Joy Global,Market capitalization change.[159]
18-Sep-15,CMCSK,Comcast Class K Special,,,Share class methodology change[2]
18-Sep-15,FOX,Twenty-First Century Fox Class B,,,Share class methodology change
18-Sep-15,NWS,News Corporation Class B,,,Share class methodology change
02-Sep-15,UAL,United Continental Holdings,HSP,Hospira,Hospira taken over[160]
28-Aug-15,ATVI,Activision Blizzard,PLL,Pall Corporation,Pall taken over[160]
29-Jul-15,SIG,Signet Jewelers,DTV,DirecTV,DirecTV acquired by AT&T.[161]
20-Jul-15,PYPL,PayPal,NE,Noble Corporation,PayPal Spun off by eBay[162]
08-Jul-15,AAP,Advance Auto Parts,FDO,Family Dollar,Family Dollar acquired.[163]
06-Jul-15,KHC,Kraft Heinz,KRFT,Kraft Foods,Kraft merger with Heinz.[164]
02-Jul-15,CPGX,Columbia Pipeline Group,ATI,Allegheny Technologies,Spin off of Columbia Pipeline.[165]
01-Jul-15,JBHT,J.B. Hunt,TEG,Integrys Energy Group,Integrys taken over.[166]
01-Jul-15,BXLT,Baxalta,QEP,QEP Resources,Baxalta spun off by Baxter.[167]
11-Jun-15,QRVO,Qorvo,LO,Lorillard Tobacco Company,Lorillard gets acquired.[168]
07-Apr-15,O,Realty Income Corporation,WIN,Windstream Communications,Market capitalization change.[169]
23-Mar-15,AAL,American Airlines Group,AGN,Allergan,Allergan acquired by Actavis (and changed name to Allergan).[170]
23-Mar-15,EQIX,Equinix,DNR,Denbury Resources,Market Capitalization Changes.[171]
23-Mar-15,SLG,SL Green Realty,NBR,Nabors Industries,Market Capitalization Changes.
23-Mar-15,HBI,Hanesbrands,AVP,Avon Products,Market Capitalization Changes.
18-Mar-15,HSIC,Henry Schein,CFN,Carefusion,Carefusion acquired by Becton Dickinson[171]
12-Mar-15,SWKS,Skyworks,PETM,PetSmart,PetSmart acquired by private equity consortium[172]
27-Jan-15,HCA,HCA Holdings,SWY,Safeway,Safeway acquired by private equity consortium[173]
27-Jan-15,ENDP,Endo International,COV,Covidien,Covidien acquired by Medtronic[174]
05-Dec-14,RCL,Royal Caribbean Cruises,BMS,Bemis Company,Market cap changes[175]
05-Nov-14,LVLT,Level 3 Communications,JBL,Jabil Circuit,Market cap changes[176]
20-Sep-14,URI,United Rentals,BTU,Peabody Energy,Market cap changes[177]
20-Sep-14,UHS,Universal Health Services,GHC,Graham Holdings,Market cap changes
18-Aug-14,MNK,Mallinckrodt,RDC,Rowan Companies,Market cap changes[178]
06-Aug-14,DISCK,Discovery Communications,,,Class C share distribution[179]
02-Jul-14,MLM,Martin Marietta,X,United States Steel,Market capitalization changes[180]
01-Jul-14,AMG,Affiliated Managers Group,FRX,Forest Laboratories,Actavis acquires Forest Laboratories[181]
20-Jun-14,XEC,Cimarex Energy,IGT,International Game Technology,Market capitalization changes[182]
08-May-14,AVGO,Avago Technologies,LSI,LSI Corporation,Avago acquires LSI[183]
01-May-14,UA,Under Armour,BEAM,Suntory Global Spirits,Beam acquired by Suntory[184]
01-May-14,NAVI,Navient,SLM,SLM Corporation,Navient Spun off from SLM[184]
03-Apr-14,GOOGL,Google,,,Google Class C share distribution[185]
02-Apr-14,ESS,Essex Property Trust,CLF,Cliffs Natural Resources,Market capitalization changes[186]
21-Mar-14,GMCR,Keurig Green Mountain,WPX,WPX Energy,Market capitalization changes[187]
24-Jan-14,TSCO,Tractor Supply,LIFE,Life Technologies,Life Technologies acquired by Thermo Fisher Scientific Inc[188]
23-Dec-13,ADS,Alliance Data Systems,ANF,Abercrombie & Fitch,Market capitalization changes.[189]
23-Dec-13,MHK,Mohawk Industries,JDSU,JDS Uniphase,Market capitalization changes.[189]
23-Dec-13,FB,Facebook,TER,Teradyne,Market capitalization changes.[189]
10-Dec-13,GGP,General Growth Properties,MOLX,Molex,MOLX acquired by Koch Industries.[190]
02-Dec-13,ALLE,Allegion,JCP,JCPenney,Allegion spun off by Ingersoll Rand.[191]
